Date,Close
2015-07-29,33.11
2015-07-30,33.71
2015-07-31,34.02
2015-08-03,34.87
2015-08-04,34.85
2015-08-05,34.55
2015-08-06,33.91
2015-08-07,33.95
2015-08-10,34.17
2015-08-11,34.51
2015-08-12,34.2
2015-08-13,34.16
2015-08-14,34.41
2015-08-17,34.72
2015-08-18,36.04
2015-08-19,35.64
2015-08-20,34.77
2015-08-21,33.88
2015-08-24,32.64
2015-08-25,32.56
2015-08-26,33.26
2015-08-27,34
2015-08-28,34.53
2015-08-31,33.87
2015-09-01,33.44
2015-09-02,33.99
2015-09-03,33.67
2015-09-04,33.45
2015-09-08,34.42
2015-09-09,33.69
2015-09-10,33.91
2015-09-11,34.73
2015-09-14,34.65
2015-09-15,35.21
2015-09-16,35.34
2015-09-17,35.35
2015-09-18,35.56
2015-09-21,36.08
2015-09-22,36.31
2015-09-23,36.82
2015-09-24,35.88
2015-09-25,35.34
2015-09-28,34.48
2015-09-29,33.49
2015-09-30,35.02
2015-10-01,35.83
2015-10-02,35.92
2015-10-05,36.64
2015-10-06,36
2015-10-07,36.3
2015-10-08,35.95
2015-10-09,36.6
2015-10-12,36.74
2015-10-13,35.87
2015-10-14,35.23
2015-10-15,35.85
2015-10-16,36.03
2015-10-19,36.28
2015-10-20,36.15
2015-10-21,36.14
2015-10-22,36.99
2015-10-23,36.67
2015-10-26,36.96
2015-10-27,36.4
2015-10-28,36.92
2015-10-29,37.03
2015-10-30,37.08
2015-11-02,37.23
2015-11-03,35.8
2015-11-04,35.93
2015-11-05,35.2
2015-11-06,35.86
2015-11-09,35.26
2015-11-10,35.11
2015-11-11,35.26
2015-11-12,35.16
2015-11-13,34.95
2015-11-16,35.57
2015-11-17,35.64
2015-11-18,36.78
2015-11-19,36.94
2015-11-20,37.06
2015-11-23,36.72
2015-11-24,35.71
2015-11-25,35.58
2015-11-27,35.87
2015-11-30,35.95
2015-12-01,36.27
2015-12-02,35.56
2015-12-03,34.96
2015-12-04,35.9
2015-12-07,34.94
2015-12-08,34.56
2015-12-09,33.98
2015-12-10,33.99
2015-12-11,33.42
2015-12-14,33
2015-12-15,33.7
2015-12-16,34.9
2015-12-17,34.38
2015-12-18,33.4
2015-12-21,33.18
2015-12-22,33.89
2015-12-23,34.28
2015-12-24,34.08
2015-12-28,33.97
2015-12-29,34.22
2015-12-30,34.1
2015-12-31,34.14
2016-01-04,33.21
2016-01-05,33.24
2016-01-06,32.4
2016-01-07,31.15
2016-01-08,30.77
2016-01-11,29.78
2016-01-12,30.36
2016-01-13,29.35
2016-01-14,31.21
2016-01-15,30.83
2016-01-19,31.63
2016-01-20,31.29
2016-01-21,30.62
2016-01-22,30.8
2016-01-25,30.02
2016-01-26,30.17
